Problem 2.3

Time (s)	Velocity With Air Drag
8.85		11.7634
8.86		11.7646
8.87		11.7658
8.88		11.7671
8.89		11.7683
8.9		11.7695
8.91		11.7707
8.92		11.772
8.93		11.7732
8.94		11.7744
8.95		11.7756
8.96		11.7769
8.97		11.7781
8.98		11.7793
8.99		11.7805
9		11.7817
9.01		11.7829
9.02		11.7842
9.03		11.7854
9.04		11.7866
9.05		11.7878
9.06		11.789
9.07		11.7902
9.08		11.7914
9.09		11.7926
9.1		11.7938
9.11		11.795
9.12		11.7962
9.13		11.7974
9.14		11.7986
9.15		11.7998
9.16		11.801
9.17		11.8022
9.18		11.8034
9.19		11.8046
9.2		11.8058
9.21		11.807
9.22		11.8082
9.23		11.8094
9.24		11.8105
9.25		11.8117
9.26		11.8129
9.27		11.8141
9.28		11.8153
9.29		11.8165
9.3		11.8176
9.31		11.8188
9.32		11.82
9.33		11.8212
9.34		11.8223
9.35		11.8235
9.36		11.8247
9.37		11.8259
9.38		11.827
9.39		11.8282
9.4		11.8294
9.41		11.8305
9.42		11.8317
9.43		11.8329
9.44		11.834
9.45		11.8352
9.46		11.8363
9.47		11.8375
9.48		11.8387
9.49		11.8398
9.5		11.841
9.51		11.8421
9.52		11.8433
9.53		11.8444
9.54		11.8456
9.55		11.8467
9.56		11.8479
9.57		11.849
9.58		11.8502
9.59		11.8513
9.6		11.8525
9.61		11.8536
9.62		11.8548
9.63		11.8559
9.64		11.857
9.65		11.8582
9.66		11.8593
9.67		11.8605
9.68		11.8616
9.69		11.8627
9.7		11.8639
9.71		11.865
9.72		11.8661
9.73		11.8673
9.74		11.8684
9.75		11.8695
9.76		11.8706
9.77		11.8718
9.78		11.8729
9.79		11.874
9.8		11.8751
9.81		11.8763
9.82		11.8774
9.83		11.8785
9.84		11.8796
9.85		11.8807
9.86		11.8819
9.87		11.883
9.88		11.8841
9.89		11.8852
9.9		11.8863
9.91		11.8874
9.92		11.8885
9.93		11.8896
9.94		11.8907
9.95		11.8918
9.96		11.8929
9.97		11.8941
9.98		11.8952
9.99		11.8963
10		11.8974
10.01		11.8985
10.02		11.8996
10.03		11.9006
10.04		11.9017
10.05		11.9028
10.06		11.9039
10.07		11.905
10.08		11.9061
10.09		11.9072
10.1		11.9083
10.11		11.9094
10.12		11.9105
10.13		11.9116
10.14		11.9126
10.15		11.9137
10.16		11.9148
10.17		11.9159
10.18		11.917
10.19		11.9181
10.2		11.9191
10.21		11.9202
10.22		11.9213
10.23		11.9224
10.24		11.9234
10.25		11.9245
10.26		11.9256
10.27		11.9267
10.28		11.9277
10.29		11.9288
10.3		11.9299
10.31		11.9309
10.32		11.932
10.33		11.9331
10.34		11.9341
10.35		11.9352
10.36		11.9362
10.37		11.9373
10.38		11.9384
10.39		11.9394
10.4		11.9405
10.41		11.9415
10.42		11.9426
10.43		11.9436
10.44		11.9447
10.45		11.9457
10.46		11.9468
10.47		11.9479
10.48		11.9489
10.49		11.9499
10.5		11.951
10.51		11.952
10.52		11.9531
10.53		11.9541
10.54		11.9552
10.55		11.9562
10.56		11.9573
10.57		11.9583
10.58		11.9593
10.59		11.9604
10.6		11.9614
10.61		11.9624
10.62		11.9635
10.63		11.9645
10.64		11.9655
10.65		11.9666
10.66		11.9676
10.67		11.9686
10.68		11.9697
10.69		11.9707
10.7		11.9717
10.71		11.9727
10.72		11.9738
10.73		11.9748
10.74		11.9758
10.75		11.9768
10.76		11.9779
10.77		11.9789
10.78		11.9799
10.79		11.9809
10.8		11.9819
10.81		11.9829
10.82		11.984
10.83		11.985
10.84		11.986
10.85		11.987
10.86		11.988
10.87		11.989
10.88		11.99
10.89		11.991
10.9		11.992
10.91		11.993
10.92		11.994
10.93		11.995
10.94		11.996
10.95		11.997
10.96		11.998
10.97		11.999
10.98		12
10.99		12.001
11		12.002
11.01		12.003
