Problem 2.3

Time (s)	Velocity with Water Drag
1.073		0.676944
1.074		0.676821
1.075		0.676698
1.076		0.676575
1.077		0.676453
1.078		0.676332
1.079		0.676211
1.08		0.67609
1.081		0.67597
1.082		0.675851
1.083		0.675732
1.084		0.675613
1.085		0.675495
1.086		0.675378
1.087		0.67526
1.088		0.675144
1.089		0.675027
1.09		0.674912
1.091		0.674796
1.092		0.674682
1.093		0.674567
1.094		0.674453
1.095		0.67434
1.096		0.674227
1.097		0.674114
1.098		0.674002
1.099		0.67389
1.1		0.673779
1.101		0.673669
1.102		0.673558
1.103		0.673448
1.104		0.673339
1.105		0.67323
1.106		0.673121
1.107		0.673013
1.108		0.672906
1.109		0.672798
1.11		0.672691
1.111		0.672585
1.112		0.672479
1.113		0.672373
1.114		0.672268
1.115		0.672164
1.116		0.672059
1.117		0.671955
1.118		0.671852
1.119		0.671749
1.12		0.671646
1.121		0.671544
1.122		0.671442
1.123		0.671341
1.124		0.67124
1.125		0.671139
1.126		0.671039
1.127		0.670939
1.128		0.67084
1.129		0.670741
1.13		0.670642
1.131		0.670544
1.132		0.670446
1.133		0.670349
1.134		0.670252
1.135		0.670155
1.136		0.670059
1.137		0.669963
1.138		0.669868
1.139		0.669773
1.14		0.669678
1.141		0.669583
1.142		0.66949
1.143		0.669396
1.144		0.669303
1.145		0.66921
1.146		0.669117
1.147		0.669025
1.148		0.668934
1.149		0.668842
1.15		0.668751
1.151		0.668661
1.152		0.66857
1.153		0.66848
1.154		0.668391
1.155		0.668302
1.156		0.668213
1.157		0.668124
1.158		0.668036
1.159		0.667949
1.16		0.667861
1.161		0.667774
1.162		0.667687
1.163		0.667601
1.164		0.667515
1.165		0.667429
1.166		0.667344
1.167		0.667259
1.168		0.667174
1.169		0.66709
1.17		0.667006
1.171		0.666922
1.172		0.666839
1.173		0.666756
1.174		0.666673
1.175		0.666591
1.176		0.666509
1.177		0.666427
1.178		0.666346
1.179		0.666265
1.18		0.666184
1.181		0.666104
1.182		0.666024
1.183		0.665944
1.184		0.665865
1.185		0.665786
1.186		0.665707
1.187		0.665629
1.188		0.66555
1.189		0.665473
1.19		0.665395
1.191		0.665318
1.192		0.665241
1.193		0.665164
1.194		0.665088
1.195		0.665012
1.196		0.664936
1.197		0.664861
1.198		0.664786
1.199		0.664711
1.2		0.664637
1.201		0.664563
1.202		0.664489
1.203		0.664415
1.204		0.664342
1.205		0.664269
1.206		0.664196
1.207		0.664124
1.208		0.664052
1.209		0.66398
1.21		0.663908
1.211		0.663837
1.212		0.663766
1.213		0.663695
1.214		0.663625
1.215		0.663555
1.216		0.663485
1.217		0.663416
1.218		0.663346
1.219		0.663277
1.22		0.663209
1.221		0.66314
1.222		0.663072
1.223		0.663004
1.224		0.662936
1.225		0.662869
1.226		0.662802
1.227		0.662735
1.228		0.662668
1.229		0.662602
1.23		0.662536
1.231		0.66247
1.232		0.662405
1.233		0.66234
1.234		0.662275
1.235		0.66221
1.236		0.662146
1.237		0.662081
1.238		0.662017
1.239		0.661954
1.24		0.66189
1.241		0.661827
1.242		0.661764
1.243		0.661701
1.244		0.661639
1.245		0.661577
1.246		0.661515
1.247		0.661453
1.248		0.661392
1.249		0.661331
1.25		0.66127
1.251		0.661209
1.252		0.661149
1.253		0.661088
1.254		0.661028
1.255		0.660969
1.256		0.660909
1.257		0.66085
1.258		0.660791
